X,Y,OBJECTID,SITE,ADDRESS,MUNICIPALI,ZIP,Additional,SCHOOL_DIS,OPEN_CLOSE,BREAKFAST_,LUNCH_STAR,DAYS,OPENING_DA,CLOSING_DA,COUNTY_PAR,FID_1
-79.983243029542166,40.464185439406549,37,Most Holy Name Of Jesus,1515 Tinsbury St, PITTSBURGH,15212, , PITTSBURGH, OPEN, ,noon - 1:30 pm,M - F,2017-07-03T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,37
-79.914158155874134,40.46240056573356,38,Mt. Ararat Community Center,271 Paulson Ave., PITTSBURGH,15206, , PITTSBURGH, CLOSED,9 - 10 am,11:30 am - 1:30 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,38
-80.011617389231105,40.283262654947634,39,Mt.  Zion Baptist Church,3801 Mountain Rd, SOUTH PARK,15129, , SOUTH PARK, CLOSED,8 - 9 am,11:30 am - 12:30 pm,M - Th,2017-06-26T00:00:00.000Z,2017-08-03T00:00:00.000Z, ,39
-79.88492213864572,40.419623746039122,40,Naomi'S House,7528 Roslynn Street,SWISSVALE,15218, , WOODLAND HILLS, OPEN,9 - 10 am,noon - 2 pm,"T, W, TH",2017-06-13T00:00:00.000Z,2017-08-17T00:00:00.000Z, ,40
-79.71972062590612,40.614055426816549,41,Natrona Ballfield,River Ave. & Diamond Alley, NATRONA HEIGHTS,15065, , HIGHLANDS, OPEN, ,11 am - 1 pm,M - F,2017-06-19T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,41
-79.817804468101656,40.380917012410237,42,North Versailles Community Center,1401 Greensburg Ave.,NORTH VERSAILLES,15137, ,EAST ALLEGHENY, OPEN, ,11 am - 1 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,42
-79.8563317618013,40.438327010483192,43,Pace School,2432 Greensburg Pike,CHURCHILL,15221, ,WOODLAND HILLS, CLOSED,9 - 10 am,noon- 2 pm,M - TH,2017-07-05T00:00:00.000Z,2017-08-03T00:00:00.000Z, ,43
-79.870884091127891,40.342181535549457,44,Port Vue Borough Building,1191 Romine Ave.,PORT VUE,15133, , SOUTH ALLEGHENY, OPEN,8:30 - 9:30 am,11:30 am - 1:30 pm,M - F,2017-06-19T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,44
-79.852803465107797,40.414530285444357,45,Propel Charter School - Braddock Hills,1500 Yost Boulevard,BRADDOCK HILLS,15221, ,PROPEL, CLOSED,8:30 - 9:30 am,11:30 am - 12:30 pm,M - F,2017-06-26T00:00:00.000Z,2017-07-14T00:00:00.000Z, ,45
-79.815238704102853,40.409349234479635,46,Propel Charter School - East,1611 Monroeville Ave.,TURTLE CREEK,15145, ,PROPEL, CLOSED,9 - 10 am,11 am - 1 pm,M - F,2017-06-26T00:00:00.000Z,2017-07-14T00:00:00.000Z, ,46
-79.938387368482211,40.404017020069489,47,Propel Charter School - Hazelwood,5401 Glenwood Ave.,PITTSBURGH,15207, ,PROPEL, CLOSED,9 - 10 am,11:30 am - 1:30 pm,M - F,2017-06-26T00:00:00.000Z,2017-07-28T00:00:00.000Z, ,47
